t,y with h=0.01,y with h=0.005,y with h=0.001
-2.01,-6.653836070997243,-7.203511892231981,-7.744455727634585
-2.0,-6.117279409122108,-6.5759553495334755,-7.018737158753577
-1.99,-5.646485378759364,-6.033284518838372,-6.4005808202393295
-1.98,-5.230176430494563,-5.559416789977067,-5.867640087495724
-1.97,-4.8594891466423595,-5.1420707874690725,-5.403354967910144
-1.96,-4.527366309925352,-4.771710876066922,-4.995194601723248
-1.95,-4.228122701460785,-4.44082365260972,-4.633503155271861
-1.94,-3.9571296368750595,-4.143411003029136,-4.310720641990721
-1.93,-3.7105821979748645,-3.874627891280003,-4.0208439489122245
-1.92,-3.4853250499754704,-3.6305189861096947,-3.759045944969855
-1.91,-3.2787204144944035,-3.4078241075041174,-3.521401127169919
-1.9,-3.088546811044432,-3.2038324392404185,-3.30468460483459
-1.89,-2.912920551247086,-3.0162718520082996,-3.106222537095727
-1.88,-2.7502342621515163,-2.8432238750903265,-2.923779294233866
-1.8699999999999999,-2.599108297562514,-2.6830576552669023,-2.7554712411515827
-1.8599999999999999,-2.458352004498616,-2.5343781444492115,-2.5997000956426155
-1.8499999999999999,-2.3269325982622115,-2.3959850709156094,-2.4551008676967676
-1.84,-2.2039499644578493,-2.266840168807231,-2.3205007903210513
-1.83,-2.0886161166932546,-2.1460407933905334,-2.1948866275884336
-1.82,-1.9802383400691952,-2.0327985187920095,-2.077378432657131
-1.81,-1.8782052740918673,-1.9264216560465384,-1.9672083189344602
-1.8,-1.7819753559904654,-1.8263008800217502,-1.8637031619579618
-1.79,-1.6910671718188728,-1.7318973399194695,-1.7662704085932193
-1.78,-1.6050513589794222,-1.642732767559824,-1.6743863614850267
-1.77,-1.523543777688979,-1.5583812031392026,-1.5875864494412797
-1.76,-1.4461997260349293,-1.478462038583945,-1.5054571019107008
-1.75,-1.3727090177501746,-1.4026341404324152,-1.4276289273537077
-1.74,-1.3027917767011723,-1.330590862033264,-1.3537709578236203
-1.73,-1.2361948295825287,-1.2620557921588453,-1.283585770321403
-1.72,-1.1726886001314838,-1.1967791164168653,-1.2168053329910273
-1.71,-1.11206442558737,-1.1345344909725155,-1.153187453577077
-1.7,-1.0541322300906693,-1.0751163464706872,-1.0925127306922335
-1.69,-0.9987185009820347,-1.018337554732876,-1.034581926774041
-1.68,-0.9456645230917499,-0.9640274026015379,-0.9792136962271348
-1.67,-0.8948248335442847,-0.9120298268324674,-0.9262426139668296
-1.66,-0.8460658656832009,-0.8622018716680393,-0.8755174590267547
-1.65,-0.7992647557165707,-0.814412337028823,-0.8268997155464446
-1.64,-0.7543082898031418,-0.7685405904248455,-0.7802622596849426
-1.63,-0.7110919727114,-0.7244755199353295,-0.7354882061015414
-1.6199999999999999,-0.6695192020199426,-0.6821146091140463,-0.692469891829975
-1.6099999999999999,-0.6295005341939163,-0.641363117586612,-0.651107978824653
-1.5999999999999999,-0.5909530308535106,-0.6021333535276036,-0.611310659316799
-1.59,-0.553799675214912,-0.5643440262283455,-0.5729929504956115
-1.58,-0.5179688500869346,-0.5279196686621627,-0.5360760670134685
-1.57,-0.4833938699925868,-0.4927901213804524,-0.5004868614757063
-1.56,-0.45001256099063924,-0.45889007027679096,-0.466157324471817
-1.55,-0.41776688262770506,-0.42615863177539104,-0.43302413688222174
-1.54,-0.38660258718096796,-0.3945389798655231,-0.40102826819058934
-1.53,-0.3564689119756886,-0.36397801014035186,-0.3701146153765527
-1.52,-0.32731830109669063,-0.3344260366278482,-0.3402316776826194
-1.51,-0.2991061532730104,-0.30583651774019666,-0.31133126316258825
-1.5,-0.2717905931113029,-0.27816580813063085,-0.28336822344377655
-1.49,-0.24533226319603307,-0.2513729336447012,-0.25630021358579735
-1.48,-0.21969413487097553,-0.22541938689641594,-0.23008747430608315
-1.47,-0.19484133577383872,-0.20026894129670747,-0.20469263417646322
